No.,自社タイトル,自社URL,自社公開,スパムチャンネル名,スパムチャンネルURL,スパム公開,スパム再生数,スパムタイトル,スパムURL,タイトル一致率
1725,【スカッとする話】10年間介護した義母が他界すると夫「愛人が妊娠したから離婚でw」愛人「賞味期限切れた嫁は失せろw」6ヶ月後、愛人が子供を産むと→夫は半狂乱に。だって目と鼻が…,https://www.youtube.com/watch?v=0o71wb5Xrwc,7.3万回視聴 / 2 年前,感動こまち ,https://www.youtube.com/channel/UCdn_V1r_oyvfaSCxmJrXn_w,1 年前,0 回視聴,【スカッと】10年間介護した義母が他界すると夫「愛人が妊娠したから離婚w」愛人「賞味期限切れた嫁は失せろw」半年後、愛人が子供を産むと→夫は半狂乱に。だって目と鼻が…【修羅場】,https://www.youtube.com/watch?v=O7k5l0wklgQ,96%
1726,【スカッとする話】夫と義両親から13年間も嫌われ続けた私。ある日、離婚届を置いて引っ越すと、ボロボロの夫と義両親から鬼電が→私（やっと気づいたかw）実は...,https://www.youtube.com/watch?v=Wk9S9SoTHxU,9.2万回視聴 / 3 年前,感動こまち ,https://www.youtube.com/channel/UCdn_V1r_oyvfaSCxmJrXn_w,1 年前,0 回視聴,【スカッと】夫と義両親から13年間も嫌われ続けた私。ある日、私は離婚届をそっと置いて引っ越すと、ボロボロの夫と義両親から鬼電→私（やっと気づいたのねw）実は…【修羅場】,https://www.youtube.com/watch?v=FCWMtyQsIHI,93%
1727,【スカッとする話】夫と義両親から13年間も嫌われ続けた私。ある日、離婚届を置いて引っ越すと、ボロボロの夫と義両親から鬼電が→私（やっと気づいたかw）実は...,https://www.youtube.com/watch?v=Wk9S9SoTHxU,9.2万回視聴 / 3 年前,感動こまち ,https://www.youtube.com/channel/UCWbLCf1LFQmbDvkf9byrU6w,1 年前,31回視聴,【スカッと】夫と義両親から13年間も嫌われ続けた私。ある日、私は離婚届をそっと置いて引っ越すと、ボロボロの夫と義両親から鬼電→私（やっと気づいたのねw）,https://www.youtube.com/watch?v=FHh6L-T4r1w,91%
1728,【スカッとする話】親族の集まりでエリート夫「嫁の飯はまずいんだよなw」私「え？私の料理食べた事ある？食事はいつも愛人宅じゃないの」義父「は？」義両親がブチギレ...,https://www.youtube.com/watch?v=GZtalGoS6qE,11万回視聴 / 3 年前,感動こまち ,https://www.youtube.com/channel/UCvF8fYg6w5hk60kbFLPmdcw,2 年前,204回視聴,【スカッとする話】親族の集まりでエリート夫「嫁の飯はまずいんだよなw」私「え？私の料理食べた事ある？食事はいつも愛人宅じゃないの」義父「は？」義両親がブチギレ...,https://www.youtube.com/watch?v=wG2Qu3ZLjXk,100%
1729,【スカッとする話】親友の出産祝いで産婦人科へ行くと新生児の父親がまさかの夫だった...。私「おめでと！赤ちゃん可愛いね！」速攻で帰宅し夫の荷物を全て捨て、家を売り払い引越した結果w,https://www.youtube.com/watch?v=7Pz5jiUvSnQ,5万回視聴 / 2 年前,感動する話,https://www.youtube.com/channel/UCeKwOwXDTuQQat8z0_QufRw,1 年前,0 回視聴,【スカッとする話】親友の出産祝いで産婦人科へ行くと新生児の父親がまさかの夫だった…私「おめでと!!赤ちゃん可愛いね!!」速攻で帰宅し夫の荷物を全て捨て、家を売り払い引越した結果w【修羅場】,https://www.youtube.com/watch?v=chCRwjFYGQs,100%
1730,【スカッとする話】私と夫の事が大嫌いな長男夫婦「俺達の結婚式は欠席しろ。嫌なら絶縁する」私「いいけど、アナタ達本当に大丈夫？後悔するよ？」長男「しねぇよw二度と連絡してくんなw」数ヶ月後w【修羅場】,https://www.youtube.com/watch?v=luo2hcOOZik,14万回視聴 / 3 年前,感動する話  026,https://www.youtube.com/channel/UCqHEaSgEBh5CGxnv61bbyvQ,3 年前,2回視聴,〖スカッとする話〗私と夫の事が大嫌いな長男夫婦「俺達の結婚式は欠席しろ。嫌なら絶縁する」私「いいけど、アナタ達本当に大丈夫？後悔するよ？」長男「しねぇよw二度と連絡してくんなw」数ヶ月後w〖修羅場〗,https://www.youtube.com/watch?v=i287iWPogAM,91%
1731,【スカッとする話】義母の介護放棄した夫と義姉「ウチに老いぼれ貧乏神は不要ｗ」ブチ切れた私が義母を引き取ると「ごめんねぇ。家と車とバリアフリー代、1億で足りるかねぇ～？」夫「え？」【修羅場】,https://www.youtube.com/watch?v=a4R11NoEbg0,8.6万回視聴 / 3 年前,感動する話  026,https://www.youtube.com/channel/UCqHEaSgEBh5CGxnv61bbyvQ,3 年前,3回視聴,【修羅場】義母の介護放棄した夫と義姉「ウチに老いぼれ貧乏神は不要ｗ」ブチ切れた私が義母を引き取ると「ごめんねぇ。家と車とバリアフリー代、1億で足りるかねぇ～？」夫「え？」【スカッとする話】,https://www.youtube.com/watch?v=Ug2lri-knYg,100%
1732,【スカッとする話】毎日9時間義母の介護で倒れた私に夫「介護すらできないなら離婚wこれからは愛人に任せるw」私「いいけど後悔しない？」夫「しねぇよw」1週間後w【朗読】【スカッと】,https://www.youtube.com/watch?v=9TulrMzmHr8,5.7万回視聴 / 9 か月前,感動する話 4991,https://www.youtube.com/channel/UC2oqyzI78dKFGeqeWSaPWug,1 か月前,17回視聴,【感動する話】毎日9時間義母の介護で倒れた私に夫「介護すらできないなら離婚wこれからは愛人に任せるw」私「いいけど後悔しない？」夫「しねぇよw」1週間後w,https://www.youtube.com/watch?v=VJjVjIoltSE,100%
1733,【スカッとする話】私が離婚届に署名すると、満面の笑みで大喜びする義家族。新しい嫁を迎えた1週間後、電気・ガス・水道が止まると急に義家族が焦り出しw【朗読】【スカッと】,https://www.youtube.com/watch?v=cVe3XmXeRuE,14万回視聴 / 4 か月前,感動する話 4991,https://www.youtube.com/channel/UC2oqyzI78dKFGeqeWSaPWug,1 か月前,30回視聴,【感動する話】私が離婚届に署名すると、満面の笑みで大喜びする義家族。新しい嫁を迎えた1週間後、電気・ガス・水道が止まると急に義家族が焦り出しw,https://www.youtube.com/watch?v=iKBAPwzs73Q,100%
1734,【スカッと総集編】私の年収が2000万と知らず入院中の私を捨て愛人と再婚した夫「離婚届け出しといたｗ慰謝料として家と車は貰うｗ」私「承知しました」→3日後、半狂乱の夫から200件の鬼電がw【修羅場】,https://www.youtube.com/watch?v=sd-a4XIE7jQ,36万回視聴 / 3 年前,感動する話 4991,https://www.youtube.com/channel/UC2oqyzI78dKFGeqeWSaPWug,1 か月前,100回視聴,【感動する話】私の年収が2000万と知らず入院中の私を捨て愛人と再婚した夫「離婚届け出しといたｗ慰謝料として家と車は貰うｗ」私「承知しました」→3日後、半狂乱の夫から200件の鬼電がw,https://www.youtube.com/watch?v=YOK33-dTmQw,100%
1735,【スカッとする話】41歳で妊娠した私と娘を捨て新人女医と再婚したエリート医師の夫「老いたババァより若い女w」30年後、病院で元夫と再会すると娘を見た夫が…【総集編】【スカッと】【朗読】,https://www.youtube.com/watch?v=jAMMNpg5_S0,4.1万回視聴 / 9 か月前,感動する話 5014,https://www.youtube.com/channel/UCqsgQ2Pbd6YQUW4IX3F034w,1 か月前,8回視聴,【感動する話】41歳で妊娠した私と娘を捨て新人女医と再婚したエリート医師の夫「老いたババァより若い女w」30年後、病院で元夫と再会すると娘を見た夫が…,https://www.youtube.com/watch?v=UhFKrVpRYQs,88%
1736,【スカッとする話】41歳で妊娠した私と娘を捨て新人女医と再婚したエリート医師の夫「老いたババァより若い女w」30年後、病院で元夫と再会すると娘を見た夫が震え出し…【朗読】【スカッと】,https://www.youtube.com/watch?v=g_SuFj7M8gs,18万回視聴 / 1 年前,感動する話 5014,https://www.youtube.com/channel/UCqsgQ2Pbd6YQUW4IX3F034w,1 か月前,8回視聴,【感動する話】41歳で妊娠した私と娘を捨て新人女医と再婚したエリート医師の夫「老いたババァより若い女w」30年後、病院で元夫と再会すると娘を見た夫が…,https://www.youtube.com/watch?v=UhFKrVpRYQs,86%
1737,【スカッとする話】義両親に蹴られ骨折した私に夫「寝かせとけば治るw」翌日、病室に嘲笑いに来た義家族「あれ、嫁は？w」医師「警察署です」義家族「え？」【朗読】【スカッと】,https://www.youtube.com/watch?v=p4pyD9SD1Tk,8.1万回視聴 / 2 か月前,感動する話 5014,https://www.youtube.com/channel/UCqsgQ2Pbd6YQUW4IX3F034w,1 か月前,18回視聴,【感動する話】義両親に蹴られ骨折した私に夫「寝かせとけば治るw」翌日、病室に嘲笑いに来た義家族「あれ、嫁は？w」医師「警察署です」義家族「え？」,https://www.youtube.com/watch?v=iEhr0glNe74,100%
1738,【スカッとする話】10年間義両親の介護を私に丸投げした夫「愛人と結婚するから離婚でｗ今後も介護がんばってなｗ」私「分かった（計画通り）」【朗読】【スカッと】,https://www.youtube.com/watch?v=njtd515eFh4,3万回視聴 / 1 年前,感動する話 5708,https://www.youtube.com/channel/UCiez4FwoYHRgWrHDnDR91pw,2 週間前,0 回視聴,【スカッとする話】10年間義両親の介護を私に丸投げした夫「愛人と結婚するから離婚でｗ今後も介護がんばってなｗ」私「分かった（計画通り）」【朗読】【スカッと】,https://www.youtube.com/watch?v=O6Tq5OrI4vc,89%
1739,【スカッとする話】元夫「タワマンのローン払い忘れてる！住めなくなるから早く払え！」私「私名義で買ってないけど？」元夫「え？」結果w【朗読】【スカッと】,https://www.youtube.com/watch?v=MdnP1O_dj6Q,2.4万回視聴 / 9 か月前,感動する話 5708,https://www.youtube.com/channel/UCiez4FwoYHRgWrHDnDR91pw,2 週間前,0 回視聴,【スカッとする話】元夫「タワマンのローン払い忘れてる！住めなくなるから早く払え！」私「私名義で買ってないけど？」元夫「え？」結果w【朗読】【スカッと】,https://www.youtube.com/watch?v=OtxtE6mrz5s,100%
1740,【スカッとする話】義実家に住む義兄夫婦の婚約祝いに行くと、医者の義兄「高級すき焼きは家族分だけwそっちは賞味期限切れの肉w」夫「帰ろうか」私「そうね」即帰宅すると婚約者が泣き叫びｗ【朗読】,https://www.youtube.com/watch?v=1qszVQaX3Jo,3.9万回視聴 / 11 か月前,感動する話 5708,https://www.youtube.com/channel/UCiez4FwoYHRgWrHDnDR91pw,2 週間前,1 回視聴,【スカッとする話】義実家に住む義兄夫婦の婚約祝いに行くと、医者の義兄「高級すき焼きは家族分だけwそっちは賞味期限切れの肉w」夫「帰ろうか」私「そうね」即帰宅すると婚約者が泣き叫びｗ【朗読】,https://www.youtube.com/watch?v=5kOlv1KQvWA,94%
1741,【スカッとする話】有名ピアニストであることを隠して生きてきた私。ある日、夫に連れられジャズバーへ。すると、店員「演奏者が...」非常事態発生し私と夫が手伝うとまさかの展開に…【スカッと】,https://www.youtube.com/watch?v=nhb1eCwozaM,16万回視聴 / 3 年前,感動たいりく,https://www.youtube.com/channel/UC-EtEUynGHdjnaxH-WNLqEw,3 年前,"112,738回視聴",【感動する話】有名ピアニストであることを隠して生きてきた俺。ある日、娘のピアノ演奏会でコンサートホールへ。すると主催者「停電です！慌てないで！」➡︎直後、俺はピアノの元へ…まさかの展開に…【いい話】,https://www.youtube.com/watch?v=TPhjpseTUlY,51%
1742,【スカッと総集編】有名ピアニストであることを隠して生きてきた私。ある日、夫に連れられコンサートへ。すると、演奏者「メンバーが...」非常事態発生し私が手伝うとまさかの展開に…【スカッとする話】,https://www.youtube.com/watch?v=5sMOrNQuYL4,15万回視聴 / 3 年前,感動たいりく,https://www.youtube.com/channel/UC-EtEUynGHdjnaxH-WNLqEw,3 年前,"112,738回視聴",【感動する話】有名ピアニストであることを隠して生きてきた俺。ある日、娘のピアノ演奏会でコンサートホールへ。すると主催者「停電です！慌てないで！」➡︎直後、俺はピアノの元へ…まさかの展開に…【いい話】,https://www.youtube.com/watch?v=TPhjpseTUlY,56%
